DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
4.30,-0.015,-5.570,-0.020,-5.570
4.40,-0.015,-5.560,-0.005,-5.560
4.50,-0.015,-5.550,-0.054,-5.550
4.60,-0.049,-5.540,-0.049,-5.540
4.70,-0.015,-5.530,-0.015,-5.530
4.80,-0.015,-5.520,0.000,-5.520
4.90,-0.015,-5.510,-0.039,-5.510
5.00,-0.015,-5.500,-0.039,-5.500
5.10,-0.005,-5.490,-0.024,-5.490
0.10,0.029,-5.990,-0.020,-5.990
0.20,-0.020,-5.980,-0.010,-5.980
0.30,-0.010,-5.970,-0.034,-5.970
0.40,-0.020,-5.960,0.015,-5.960
0.50,-0.010,-5.950,-0.024,-5.950
0.60,-0.020,-5.940,-0.024,-5.940
0.70,-0.029,-5.930,-0.005,-5.930
0.80,-0.024,-5.920,-0.015,-5.920
0.90,-0.010,-5.910,-0.024,-5.910
1.00,-0.010,-5.900,-1.812,-5.900
1.10,-0.005,-5.890,-3.247,-5.890
1.20,-0.034,-5.880,-4.678,-5.880
1.30,-0.015,-5.870,-5.889,-5.870
1.40,-0.059,-5.860,-6.787,-5.860
1.50,-0.044,-5.850,-7.456,-5.850
1.60,-0.010,-5.840,-8.008,-5.840
1.70,-0.015,-5.830,-8.394,-5.830
1.80,-0.049,-5.820,-8.740,-5.820
1.90,-0.010,-5.810,-9.033,-5.810
2.00,-0.029,-5.800,-9.243,-5.800
2.10,-0.029,-5.790,-9.429,-5.790
2.20,-0.054,-5.780,-9.565,-5.780
2.30,-0.029,-5.770,-9.692,-5.770
2.40,-0.015,-5.760,-9.785,-5.760
2.50,-0.015,-5.750,-9.834,-5.750
2.60,-0.015,-5.740,-9.883,-5.740
2.70,-0.015,-5.730,-9.961,-5.730
2.80,-0.020,-5.720,-9.995,-5.720
2.90,-0.024,-5.710,-10.000,-5.710
3.00,-0.024,-5.700,-10.000,-5.700
3.10,-0.010,-5.690,-10.000,-5.690
3.20,-0.044,-5.680,-10.000,-5.680
3.30,-0.010,-5.670,-10.000,-5.670
3.40,-0.044,-5.660,-10.000,-5.660
3.50,-0.024,-5.650,-10.000,-5.650
3.60,-0.015,-5.640,-10.000,-5.640
3.70,-0.010,-5.630,-10.000,-5.630
3.80,-0.010,-5.620,-10.000,-5.620
3.90,-0.054,-5.610,-10.000,-5.610
4.00,-0.010,-5.600,-10.000,-5.600
4.10,-0.024,-5.590,-10.000,-5.590
4.20,-0.024,-5.580,-10.000,-5.580
4.30,-0.015,-5.570,-10.000,-5.570
4.40,-0.024,-5.560,-10.000,-5.560
4.50,-0.059,-5.550,-10.000,-5.550
4.60,-0.049,-5.540,-10.000,-5.540
4.70,-0.015,-5.530,-10.000,-5.530
4.80,-0.029,-5.520,-10.000,-5.520
4.90,-0.015,-5.510,-10.000,-5.510
5.00,-0.020,-5.500,-10.000,-5.500
5.10,-0.010,-5.490,-10.000,-5.490
5.20,-0.015,-5.480,-10.000,-5.480
5.30,-0.024,-5.470,-10.000,-5.470
5.40,-0.073,-5.460,-10.000,-5.460
5.50,-0.015,-5.450,-10.000,-5.450
5.60,-0.024,-5.440,-10.000,-5.440
5.70,-0.020,-5.430,-10.000,-5.430
5.80,-0.020,-5.420,-10.000,-5.420
5.90,-0.029,-5.410,-10.000,-5.410
6.00,-0.010,-5.400,-10.000,-5.400
6.10,-0.020,-5.390,-10.000,-5.390
6.20,-0.034,-5.380,-10.000,-5.380
6.30,-0.010,-5.370,-10.000,-5.370
6.40,-0.020,-5.360,-10.000,-5.360
6.50,-0.034,-5.350,-10.000,-5.350
6.60,-0.054,-5.340,-10.000,-5.340
6.70,-0.039,-5.330,-10.000,-5.330
6.80,-0.005,-5.320,-10.000,-5.320
6.90,-0.020,-5.310,-10.000,-5.310
7.00,-0.010,-5.300,-10.000,-5.300
7.10,-0.034,-5.290,-10.000,-5.290
7.20,-0.049,-5.280,-10.000,-5.280
7.30,-0.044,-5.270,-10.000,-5.270
7.40,-0.020,-5.260,-10.000,-5.260
7.50,-0.015,-5.250,-10.000,-5.250
7.60,-0.024,-5.240,-10.000,-5.240
7.70,-0.029,-5.230,-10.000,-5.230
7.80,-0.029,-5.220,-10.000,-5.220
7.90,-0.063,-5.210,-10.000,-5.210
8.00,-0.015,-5.200,-10.000,-5.200
8.10,-0.024,-5.190,-10.000,-5.190
8.20,-0.005,-5.180,-10.000,-5.180
8.30,-0.059,-5.170,-10.000,-5.170
8.40,-0.054,-5.160,-10.000,-5.160
8.50,-0.029,-5.150,-10.000,-5.150
8.60,-0.020,-5.140,-10.000,-5.140
8.70,-0.049,-5.130,-10.000,-5.130
8.80,-0.015,-5.120,-10.000,-5.120
8.90,-0.010,-5.110,-10.000,-5.110
9.00,-0.015,-5.100,-10.000,-5.100
9.10,-0.044,-5.090,-9.980,-5.090
9.20,-0.020,-5.080,-9.912,-5.080
9.30,-0.054,-5.070,-9.971,-5.070
9.40,-0.015,-5.060,-9.941,-5.060
9.50,-0.015,-5.050,-9.883,-5.050
9.60,-0.049,-5.040,-9.873,-5.040
9.70,-0.020,-5.030,-9.893,-5.030
9.80,-0.015,-5.020,-9.829,-5.020
9.90,-0.015,-5.010,-9.814,-5.010
10.00,-0.010,-5.000,-9.790,-5.000
10.10,0.010,-4.990,-9.775,-4.990
10.20,-0.059,-4.980,-9.775,-4.980
10.30,-0.049,-4.970,-9.741,-4.970
10.40,-0.010,-4.960,-9.702,-4.960
10.50,-0.049,-4.950,-9.707,-4.950
10.60,-0.020,-4.940,-9.697,-4.940
10.70,-0.015,-4.930,-9.697,-4.930
10.80,-0.010,-4.920,-9.614,-4.920
10.90,-0.024,-4.910,-9.624,-4.910
11.00,-0.015,-4.900,-9.639,-4.900
11.10,-0.005,-4.890,-9.619,-4.890
11.20,0.000,-4.880,-9.600,-4.880
11.30,-0.049,-4.870,-9.536,-4.870
11.40,-0.010,-4.860,-9.526,-4.860
11.50,-0.020,-4.850,-9.526,-4.850
11.60,-0.063,-4.840,-9.512,-4.840
11.70,-0.015,-4.830,-9.492,-4.830
11.80,-0.024,-4.820,-9.487,-4.820
11.90,-0.015,-4.810,-9.468,-4.810
12.00,-0.020,-4.800,-9.492,-4.800
12.10,-0.015,-4.790,-9.434,-4.790
12.20,-0.029,-4.780,-9.404,-4.780
12.30,-0.044,-4.770,-9.395,-4.770
12.40,-0.020,-4.760,-9.341,-4.760
12.50,-0.024,-4.750,-9.355,-4.750
12.60,-0.010,-4.740,-9.302,-4.740
12.70,-0.024,-4.730,-9.287,-4.730
12.80,-0.020,-4.720,-9.307,-4.720
12.90,-0.015,-4.710,-9.287,-4.710
13.00,-0.010,-4.700,-9.258,-4.700
13.10,-0.005,-4.690,-9.233,-4.690
13.20,-0.010,-4.680,-9.189,-4.680
13.30,-0.020,-4.670,-9.229,-4.670
13.40,-0.015,-4.660,-9.194,-4.660
13.50,-0.029,-4.650,-9.155,-4.650
13.60,-0.034,-4.640,-9.131,-4.640
13.70,-0.024,-4.630,-9.092,-4.630
13.80,-0.029,-4.620,-9.048,-4.620
13.90,-0.005,-4.610,-9.087,-4.610
14.00,-0.054,-4.600,-9.053,-4.600
14.10,-0.049,-4.590,-9.038,-4.590
14.20,-0.020,-4.580,-9.023,-4.580
14.30,-0.020,-4.570,-8.970,-4.570
14.40,-0.015,-4.560,-8.970,-4.560
14.50,-0.024,-4.550,-8.955,-4.550
14.60,-0.010,-4.540,-8.965,-4.540
14.70,-0.044,-4.530,-8.887,-4.530
14.80,-0.015,-4.520,-8.906,-4.520
14.90,-0.020,-4.510,-8.892,-4.510
15.00,-0.020,-4.500,-8.823,-4.500
15.10,-0.015,-4.490,-8.794,-4.490
15.20,-0.010,-4.480,-8.750,-4.480
15.30,-0.063,-4.470,-8.789,-4.470
15.40,-0.010,-4.460,-8.750,-4.460
15.50,-0.015,-4.450,-8.765,-4.450
15.60,-0.015,-4.440,-8.711,-4.440
15.70,-0.005,-4.430,-8.687,-4.430
15.80,-0.015,-4.420,-8.667,-4.420
15.90,-0.015,-4.410,-8.652,-4.410
16.00,-0.015,-4.400,-8.647,-4.400
16.10,-0.010,-4.390,-8.599,-4.390
16.20,-0.034,-4.380,-8.550,-4.380
16.30,-0.015,-4.370,-8.540,-4.370
16.40,-0.063,-4.360,-8.516,-4.360
16.50,-0.015,-4.350,-8.462,-4.350
16.60,-0.015,-4.340,-8.452,-4.340
16.70,-0.039,-4.330,-8.447,-4.330
16.80,-0.015,-4.320,-8.467,-4.320
16.90,-0.015,-4.310,-8.384,-4.310
17.00,-0.024,-4.300,-8.423,-4.300
17.10,-0.024,-4.290,-8.354,-4.290
17.20,-0.020,-4.280,-8.330,-4.280
17.30,-0.020,-4.270,-8.281,-4.270
17.40,-0.039,-4.260,-8.296,-4.260
17.50,-0.015,-4.250,-8.296,-4.250
17.60,-0.015,-4.240,-8.247,-4.240
17.70,-0.039,-4.230,-8.237,-4.230
17.80,-0.054,-4.220,-8.223,-4.220
17.90,-0.010,-4.210,-8.149,-4.210
18.00,-0.010,-4.200,-8.174,-4.200
18.10,-0.020,-4.190,-8.145,-4.190
18.20,-0.015,-4.180,-8.125,-4.180
18.30,-0.044,-4.170,-8.110,-4.170
18.40,-0.015,-4.160,-8.091,-4.160
18.50,-0.068,-4.150,-8.052,-4.150
18.60,-0.024,-4.140,-8.018,-4.140
18.70,-0.020,-4.130,-8.008,-4.130
18.80,-0.020,-4.120,-8.018,-4.120
18.90,-0.024,-4.110,-7.925,-4.110
19.00,-0.034,-4.100,-7.935,-4.100
19.10,-0.010,-4.090,-7.910,-4.090
19.20,-0.044,-4.080,-7.881,-4.080
