DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
4.50,-0.010,-3.550,-0.015,-3.550
4.60,-0.015,-3.540,-0.010,-3.540
4.70,-0.005,-3.530,-0.005,-3.530
4.80,-0.093,-3.520,-0.005,-3.520
4.90,-0.020,-3.510,-0.010,-3.510
5.00,0.000,-3.500,-0.015,-3.500
5.10,-0.015,-3.490,-0.010,-3.490
5.20,-0.010,-3.480,-0.020,-3.480
5.30,-0.005,-3.470,-0.015,-3.470
0.10,-0.020,-3.990,0.000,-3.990
0.20,-0.015,-3.980,-0.015,-3.980
0.30,-0.015,-3.970,-0.010,-3.970
0.40,-0.010,-3.960,-0.015,-3.960
0.50,-0.005,-3.950,-0.020,-3.950
0.60,0.000,-3.940,-0.020,-3.940
0.70,-0.015,-3.930,-0.010,-3.930
0.80,-0.010,-3.920,-0.015,-3.920
0.90,-0.024,-3.910,-0.015,-3.910
1.00,-0.039,-3.900,-0.015,-3.900
1.10,-0.034,-3.890,-0.010,-3.890
1.20,-0.024,-3.880,-0.020,-3.880
1.30,-0.020,-3.870,-1.875,-3.870
1.40,-0.010,-3.860,-2.173,-3.860
1.50,-0.015,-3.850,-2.397,-3.850
1.60,-0.010,-3.840,-2.700,-3.840
1.70,-0.049,-3.830,-2.720,-3.830
1.80,-0.029,-3.820,-2.749,-3.820
1.90,-0.029,-3.810,-2.842,-3.810
2.00,-0.020,-3.800,-2.856,-3.800
2.10,-0.044,-3.790,-2.959,-3.790
2.20,-0.015,-3.780,-3.174,-3.780
2.30,-0.010,-3.770,-3.257,-3.770
2.40,-0.020,-3.760,-3.330,-3.760
2.50,-0.010,-3.750,-3.506,-3.750
2.60,-0.015,-3.740,-3.643,-3.740
2.70,-0.020,-3.730,-3.750,-3.730
2.80,-0.068,-3.720,-3.940,-3.720
2.90,-0.068,-3.710,-4.116,-3.710
3.00,-0.010,-3.700,-4.116,-3.700
3.10,-0.005,-3.690,-4.248,-3.690
3.20,-0.034,-3.680,-4.365,-3.680
3.30,-0.020,-3.670,-4.468,-3.670
3.40,-0.015,-3.660,-4.600,-3.660
3.50,-0.015,-3.650,-4.663,-3.650
3.60,-0.010,-3.640,-4.780,-3.640
3.70,-0.015,-3.630,-4.888,-3.630
3.80,-0.010,-3.620,-4.966,-3.620
3.90,-0.010,-3.610,-5.078,-3.610
4.00,-0.029,-3.600,-5.117,-3.600
4.10,-0.005,-3.590,-5.269,-3.590
4.20,-0.015,-3.580,-5.366,-3.580
4.30,-0.015,-3.570,-5.420,-3.570
4.40,-0.029,-3.560,-5.547,-3.560
4.50,-0.010,-3.550,-5.581,-3.550
4.60,-0.015,-3.540,-5.640,-3.540
4.70,-0.010,-3.530,-5.742,-3.530
4.80,-0.024,-3.520,-5.767,-3.520
4.90,-0.010,-3.510,-5.835,-3.510
5.00,-0.010,-3.500,-5.898,-3.500
5.10,-0.010,-3.490,-5.981,-3.490
5.20,-0.044,-3.480,-6.055,-3.480
5.30,-0.039,-3.470,-6.074,-3.470
5.40,-0.029,-3.460,-6.152,-3.460
5.50,-0.015,-3.450,-6.172,-3.450
5.60,-0.010,-3.440,-6.289,-3.440
5.70,-0.020,-3.430,-6.294,-3.430
5.80,-0.034,-3.420,-6.353,-3.420
5.90,-0.044,-3.410,-6.382,-3.410
6.00,-0.020,-3.400,-6.421,-3.400
6.10,-0.005,-3.390,-6.479,-3.390
6.20,-0.015,-3.380,-6.553,-3.380
6.30,-0.024,-3.370,-6.582,-3.370
6.40,-0.049,-3.360,-6.587,-3.360
6.50,-0.024,-3.350,-6.611,-3.350
6.60,-0.015,-3.340,-6.670,-3.340
6.70,-0.029,-3.330,-6.709,-3.330
6.80,-0.068,-3.320,-6.738,-3.320
6.90,-0.034,-3.310,-6.768,-3.310
7.00,-0.044,-3.300,-6.812,-3.300
7.10,-0.005,-3.290,-6.816,-3.290
7.20,-0.020,-3.280,-6.846,-3.280
7.30,-0.034,-3.270,-6.855,-3.270
7.40,-0.010,-3.260,-6.919,-3.260
7.50,-0.015,-3.250,-6.938,-3.250
7.60,-0.010,-3.240,-6.958,-3.240
7.70,-0.039,-3.230,-7.007,-3.230
7.80,-0.034,-3.220,-6.992,-3.220
7.90,-0.010,-3.210,-7.021,-3.210
8.00,-0.015,-3.200,-7.051,-3.200
8.10,-0.005,-3.190,-7.065,-3.190
8.20,-0.044,-3.180,-7.075,-3.180
8.30,-0.024,-3.170,-7.100,-3.170
8.40,-0.010,-3.160,-7.139,-3.160
8.50,-0.010,-3.150,-7.139,-3.150
8.60,-0.049,-3.140,-7.153,-3.140
8.70,0.000,-3.130,-7.212,-3.130
8.80,-0.010,-3.120,-7.202,-3.120
8.90,-0.015,-3.110,-7.217,-3.110
9.00,0.005,-3.100,-7.222,-3.100
9.10,-0.024,-3.090,-7.285,-3.090
9.20,-0.020,-3.080,-7.256,-3.080
9.30,-0.034,-3.070,-7.246,-3.070
9.40,-0.049,-3.060,-7.266,-3.060
9.50,-0.010,-3.050,-7.275,-3.050
9.60,-0.010,-3.040,-7.290,-3.040
9.70,-0.049,-3.030,-7.295,-3.030
9.80,-0.010,-3.020,-7.290,-3.020
9.90,-0.015,-3.010,-7.275,-3.010
10.00,-0.010,-3.000,-7.349,-3.000
10.10,-0.039,-2.990,-7.334,-2.990
10.20,-0.010,-2.980,-7.339,-2.980
10.30,-0.015,-2.970,-7.305,-2.970
10.40,-0.015,-2.960,-7.310,-2.960
10.50,-0.020,-2.950,-7.344,-2.950
10.60,-0.010,-2.940,-7.344,-2.940
10.70,-0.015,-2.930,-7.324,-2.930
10.80,-0.020,-2.920,-7.334,-2.920
10.90,-0.039,-2.910,-7.329,-2.910
11.00,-0.015,-2.900,-7.344,-2.900
11.10,-0.044,-2.890,-7.339,-2.890
11.20,-0.049,-2.880,-7.324,-2.880
11.30,-0.010,-2.870,-7.378,-2.870
11.40,-0.049,-2.860,-7.339,-2.860
11.50,-0.020,-2.850,-7.334,-2.850
11.60,-0.015,-2.840,-7.358,-2.840
11.70,-0.020,-2.830,-7.334,-2.830
11.80,-0.034,-2.820,-7.349,-2.820
11.90,-0.015,-2.810,-7.329,-2.810
12.00,-0.020,-2.800,-7.334,-2.800
12.10,-0.010,-2.790,-7.334,-2.790
12.20,-0.010,-2.780,-7.324,-2.780
12.30,-0.029,-2.770,-7.319,-2.770
12.40,-0.020,-2.760,-7.285,-2.760
12.50,-0.029,-2.750,-7.290,-2.750
12.60,-0.054,-2.740,-7.290,-2.740
12.70,-0.073,-2.730,-7.290,-2.730
12.80,-0.024,-2.720,-7.290,-2.720
12.90,-0.054,-2.710,-7.285,-2.710
13.00,-0.024,-2.700,-7.290,-2.700
13.10,-0.029,-2.690,-7.266,-2.690
13.20,-0.024,-2.680,-7.256,-2.680
13.30,-0.039,-2.670,-7.227,-2.670
13.40,-0.015,-2.660,-7.231,-2.660
13.50,-0.024,-2.650,-7.227,-2.650
13.60,-0.020,-2.640,-7.212,-2.640
13.70,-0.010,-2.630,-7.197,-2.630
13.80,-0.020,-2.620,-7.207,-2.620
13.90,-0.020,-2.610,-7.188,-2.610
14.00,-0.073,-2.600,-7.178,-2.600
14.10,-0.044,-2.590,-7.163,-2.590
14.20,-0.010,-2.580,-7.158,-2.580
14.30,-0.063,-2.570,-7.153,-2.570
14.40,-0.024,-2.560,-7.104,-2.560
14.50,-0.059,-2.550,-7.090,-2.550
14.60,-0.010,-2.540,-7.080,-2.540
14.70,-0.010,-2.530,-7.080,-2.530
14.80,-0.020,-2.520,-7.090,-2.520
14.90,-0.024,-2.510,-7.075,-2.510
15.00,-0.010,-2.500,-7.026,-2.500
15.10,-0.020,-2.490,-7.021,-2.490
15.20,-0.020,-2.480,-7.026,-2.480
15.30,-0.034,-2.470,-7.026,-2.470
15.40,0.000,-2.460,-7.012,-2.460
15.50,-0.010,-2.450,-6.973,-2.450
15.60,-0.073,-2.440,-6.958,-2.440
15.70,-0.112,-2.430,-6.973,-2.430
15.80,-0.015,-2.420,-6.924,-2.420
15.90,-0.020,-2.410,-6.855,-2.410
16.00,-0.015,-2.400,-6.885,-2.400
