DATA LOGGER INTERVAL @ 100ms,,,,
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
53,-0.029,0.3,-0.054,0.3
53.1,-0.005,0.31,0,0.31
53.2,0,0.32,-0.01,0.32
53.3,-0.01,0.33,-0.015,0.33
53.4,-0.015,0.34,-0.015,0.34
53.5,-0.034,0.35,-0.015,0.35
53.6,0.005,0.36,-0.015,0.36
53.7,-0.015,0.37,-0.015,0.37
53.8,-0.029,0.38,-0.005,0.38
53.9,-0.015,0.39,-0.01,0.39
54,-0.029,0.4,-0.01,0.4
54.1,-0.015,0.41,-0.005,0.41
54.2,-0.005,0.42,-0.039,0.42
54.3,-0.029,0.43,-0.015,0.43
54.4,-0.01,0.44,-0.005,0.44
54.5,-0.02,0.45,-0.01,0.45
54.6,-0.024,0.46,-0.029,0.46
54.7,-0.015,0.47,-0.024,0.47
54.8,-0.049,0.48,-0.015,0.48
0.1,-0.01,-4.99,-0.015,-4.99
0.2,-0.01,-4.98,-0.015,-4.98
0.3,-0.024,-4.97,-0.02,-4.97
0.4,0,-4.96,-1.748,-4.96
0.5,-0.015,-4.95,-3.394,-4.95
0.6,-0.015,-4.94,-4.961,-4.94
0.7,-0.005,-4.93,-6.255,-4.93
0.8,-0.015,-4.92,-7.236,-4.92
0.9,-0.015,-4.91,-8.042,-4.91
1,-0.059,-4.9,-8.677,-4.9
1.1,-0.015,-4.89,-9.282,-4.89
1.2,-0.029,-4.88,-9.756,-4.88
1.3,-0.015,-4.87,-10,-4.87
1.4,-0.01,-4.86,-10,-4.86
1.5,-0.01,-4.85,-10,-4.85
1.6,-0.024,-4.84,-10,-4.84
1.7,-0.024,-4.83,-10,-4.83
1.8,-0.049,-4.82,-10,-4.82
1.9,-0.063,-4.81,-10,-4.81
2,-0.015,-4.8,-10,-4.8
2.1,-0.02,-4.79,-10,-4.79
2.2,-0.054,-4.78,-10,-4.78
2.3,-0.015,-4.77,-10,-4.77
2.4,-0.024,-4.76,-10,-4.76
2.5,-0.049,-4.75,-10,-4.75
2.6,-0.02,-4.74,-10,-4.74
2.7,-0.015,-4.73,-10,-4.73
2.8,0,-4.72,-10,-4.72
2.9,-0.015,-4.71,-10,-4.71
3,-0.054,-4.7,-10,-4.7
3.1,-0.024,-4.69,-10,-4.69
3.2,0,-4.68,-10,-4.68
3.3,-0.005,-4.67,-10,-4.67
3.4,-0.034,-4.66,-10,-4.66
3.5,-0.015,-4.65,-10,-4.65
3.6,-0.044,-4.64,-10,-4.64
3.7,-0.01,-4.63,-10,-4.63
3.8,-0.044,-4.62,-10,-4.62
3.9,-0.029,-4.61,-10,-4.61
4,-0.049,-4.6,-10,-4.6
4.1,-0.049,-4.59,-10,-4.59
4.2,-0.039,-4.58,-10,-4.58
4.3,-0.01,-4.57,-10,-4.57
4.4,-0.029,-4.56,-10,-4.56
4.5,-0.029,-4.55,-10,-4.55
