DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
2.40,-0.015,0.450,1.025,0.450
2.50,-0.010,0.450,1.094,0.450
2.60,-0.010,0.450,1.079,0.450
2.70,-0.010,0.450,1.084,0.450
2.80,-0.015,0.450,1.084,0.450
2.90,-0.020,0.450,1.094,0.450
3.00,-0.015,0.450,1.084,0.450
3.10,-0.049,0.450,1.094,0.450
3.20,-0.010,0.450,1.055,0.450
3.30,-0.034,0.450,1.045,0.450
3.40,-0.029,0.450,1.089,0.450
3.50,-0.015,0.450,1.084,0.450
3.60,-0.005,0.450,1.069,0.450
3.70,-0.005,0.450,1.060,0.450
3.80,-0.020,0.450,1.079,0.450
3.90,-0.010,0.450,1.025,0.450
4.00,-0.010,0.450,1.094,0.450
4.10,-0.039,0.450,1.099,0.450
4.20,-0.010,0.450,1.079,0.450
4.30,-0.010,0.450,1.079,0.450
4.40,-0.015,0.450,1.099,0.450
4.50,-0.010,1.500,1.069,1.500
4.60,-0.010,1.500,1.235,1.500
4.70,-0.020,1.500,1.396,1.500
4.80,-0.024,1.500,1.548,1.500
4.90,-0.015,1.500,1.660,1.500
5.00,-0.015,1.500,1.816,1.500
5.10,-0.010,1.500,1.953,1.500
5.20,-0.020,1.500,2.080,1.500
5.30,-0.024,1.500,2.197,1.500
5.40,-0.029,1.500,2.305,1.500
5.50,-0.015,1.500,2.393,1.500
5.60,-0.015,1.500,2.515,1.500
5.70,-0.010,1.500,2.598,1.500
5.80,-0.015,1.500,2.690,1.500
5.90,-0.015,1.500,2.793,1.500
6.00,-0.010,1.500,2.852,1.500
6.10,-0.034,1.500,2.964,1.500
6.20,-0.024,1.500,3.032,1.500
6.30,-0.024,1.500,3.086,1.500
6.40,-0.015,1.500,3.169,1.500
6.50,-0.015,1.500,3.252,1.500
6.60,-0.015,1.500,3.286,1.500
6.70,-0.020,1.500,3.379,1.500
6.80,-0.015,1.500,3.457,1.500
6.90,-0.093,1.500,3.486,1.500
7.00,-0.015,1.500,3.555,1.500
7.10,-0.010,1.500,3.623,1.500
7.20,-0.015,1.500,3.682,1.500
7.30,-0.020,1.500,3.755,1.500
7.40,-0.015,1.500,3.770,1.500
7.50,-0.015,1.500,3.838,1.500
7.60,-0.039,1.500,3.906,1.500
7.70,-0.005,1.500,3.916,1.500
7.80,-0.020,1.500,3.989,1.500
7.90,-0.015,1.500,4.023,1.500
8.00,0.000,1.500,4.097,1.500
8.10,-0.015,1.500,4.116,1.500
8.20,-0.015,1.500,4.180,1.500
8.30,-0.015,1.500,4.238,1.500
8.40,-0.068,1.500,4.272,1.500
8.50,-0.049,1.500,4.307,1.500
8.60,-0.010,1.500,4.321,1.500
8.70,0.000,1.500,4.380,1.500
8.80,-0.015,1.500,4.404,1.500
8.90,-0.015,1.500,4.468,1.500
9.00,-0.049,1.500,4.512,1.500
9.10,-0.010,1.500,4.517,1.500
9.20,-0.020,1.500,4.551,1.500
9.30,-0.015,1.500,4.590,1.500
9.40,0.000,1.500,4.644,1.500
9.50,-0.010,1.500,4.653,1.500
9.60,-0.020,1.500,4.717,1.500
9.70,-0.005,1.500,4.707,1.500
9.80,-0.024,1.500,4.717,1.500
9.90,0.015,1.500,4.775,1.500
10.00,0.015,1.500,4.844,1.500
10.10,-0.010,1.500,4.834,1.500
10.20,-0.024,1.500,4.868,1.500
10.30,-0.068,1.500,4.932,1.500
10.40,-0.024,1.500,4.937,1.500
10.50,-0.010,1.500,4.961,1.500
10.60,-0.063,1.500,4.966,1.500
10.70,-0.039,1.500,5.005,1.500
10.80,-0.024,1.500,5.044,1.500
10.90,-0.015,1.500,5.073,1.500
11.00,-0.010,1.500,5.112,1.500
11.10,-0.015,1.500,5.122,1.500
11.20,-0.005,1.500,5.161,1.500
11.30,-0.044,1.500,5.151,1.500
11.40,-0.015,1.500,5.171,1.500
11.50,-0.020,1.500,5.205,1.500
11.60,-0.024,1.500,5.239,1.500
11.70,-0.015,1.500,5.278,1.500
11.80,-0.059,1.500,5.273,1.500
11.90,-0.020,1.500,5.298,1.500
12.00,-0.015,1.500,5.337,1.500
12.10,-0.010,1.500,5.352,1.500
12.20,-0.010,1.500,5.352,1.500
12.30,-0.015,1.500,5.381,1.500
12.40,-0.010,1.500,5.396,1.500
12.50,-0.020,1.500,5.391,1.500
12.60,0.005,1.500,5.454,1.500
12.70,-0.010,1.500,5.454,1.500
12.80,-0.015,1.500,5.503,1.500
12.90,-0.024,1.500,5.493,1.500
13.00,-0.015,1.500,5.508,1.500
13.10,-0.005,1.500,5.522,1.500
13.20,-0.039,1.500,5.552,1.500
13.30,-0.054,1.500,5.581,1.500
13.40,-0.005,1.500,5.596,1.500
13.50,-0.005,1.500,5.610,1.500
13.60,-0.015,1.500,5.645,1.500
13.70,-0.015,1.500,5.645,1.500
13.80,-0.010,1.500,5.654,1.500
