DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
5.20,-0.015,0.450,0.859,0.450
5.30,-0.015,0.450,0.884,0.450
5.40,-0.005,0.450,0.879,0.450
5.50,0.000,0.450,0.864,0.450
5.60,-0.015,0.450,0.864,0.450
5.70,-0.020,0.450,0.850,0.450
5.80,-0.049,0.450,0.894,0.450
5.90,-0.010,0.450,0.864,0.450
6.00,-0.015,0.450,0.835,0.450
6.10,-0.015,0.450,0.869,0.450
6.20,-0.015,0.450,0.884,0.450
6.30,-0.015,0.450,0.898,0.450
6.40,-0.020,0.450,0.884,0.450
6.50,-0.039,0.450,0.898,0.450
6.60,0.020,0.450,0.913,0.450
6.70,-0.005,0.450,0.894,0.450
6.80,-0.020,0.450,0.889,0.450
6.90,-0.015,0.450,0.918,0.450
7.00,-0.010,0.450,0.928,0.450
7.10,-0.010,0.450,0.903,0.450
7.20,-0.005,0.450,0.913,0.450
7.30,-0.020,0.450,0.913,0.450
7.40,-0.024,0.450,0.938,0.450
7.50,-0.034,0.450,0.894,0.450
7.60,-0.015,0.450,0.894,0.450
7.70,-0.005,0.450,0.889,0.450
7.80,-0.015,0.450,0.918,0.450
7.90,-0.020,0.450,0.913,0.450
8.00,-0.010,0.450,0.864,0.450
8.10,-0.005,0.450,0.933,0.450
8.20,-0.010,0.450,0.913,0.450
8.30,-0.034,0.450,0.938,0.450
8.40,-0.010,0.450,0.933,0.450
8.50,-0.010,0.450,0.928,0.450
8.60,-0.054,0.450,0.938,0.450
8.70,-0.029,0.450,0.942,0.450
8.80,-0.015,0.450,0.928,0.450
8.90,-0.015,0.450,0.923,0.450
9.00,-0.039,0.450,0.938,0.450
9.10,-0.029,0.450,0.918,0.450
9.20,-0.005,0.450,0.918,0.450
9.30,-0.005,0.450,0.928,0.450
9.40,-0.020,0.450,0.942,0.450
9.50,-0.010,0.450,0.918,0.450
9.60,-0.010,0.450,0.928,0.450
9.70,-0.005,0.450,0.952,0.450
9.80,-0.020,0.450,0.918,0.450
9.90,-0.015,0.450,0.918,0.450
10.00,-0.015,0.450,0.942,0.450
10.10,-0.015,0.450,0.933,0.450
10.20,-0.020,0.450,0.918,0.450
10.30,-0.015,0.450,0.952,0.450
10.40,-0.010,0.450,0.942,0.450
10.50,-0.020,0.450,0.942,0.450
