DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
1.60,-0.020,-5.000,-10.000,-5.000
1.70,-0.054,-5.000,-10.000,-5.000
1.80,-0.029,-5.000,-10.000,-5.000
1.90,-0.020,-5.000,-10.000,-5.000
2.00,-0.024,-5.000,-10.000,-5.000
2.10,-0.049,-5.000,-10.000,-5.000
2.20,-0.034,-5.000,-10.000,-5.000
2.30,-0.034,-5.000,-10.000,-5.000
2.40,-0.010,-5.000,-10.000,-5.000
2.50,-0.010,-5.000,-10.000,-5.000
2.60,-0.049,-5.000,-10.000,-5.000
2.70,-0.044,-5.000,-10.000,-5.000
2.80,-0.054,-5.000,-10.000,-5.000
2.90,-0.039,-5.000,-10.000,-5.000
3.00,-0.024,-5.000,-10.000,-5.000
3.10,-0.054,0.400,-10.000,0.400
3.20,-0.015,0.400,-9.834,0.400
3.30,-0.010,0.400,-4.097,0.400
3.40,-0.020,0.400,-1.846,0.400
3.50,-0.015,0.400,-1.538,0.400
3.60,-0.020,0.400,-1.357,0.400
3.70,0.000,0.400,-0.854,0.400
3.80,-0.010,0.400,-0.210,0.400
3.90,-0.010,0.400,0.039,0.400
4.00,0.000,0.400,0.249,0.400
4.10,-0.073,0.400,0.264,0.400
4.20,-0.015,0.400,0.303,0.400
4.30,-0.015,0.400,0.317,0.400
4.40,-0.015,0.400,0.342,0.400
4.50,-0.020,0.400,0.410,0.400
4.60,-0.034,0.400,0.400,0.400
4.70,-0.010,0.400,0.420,0.400
4.80,-0.010,0.400,0.430,0.400
4.90,-0.015,0.400,0.435,0.400
5.00,-0.024,0.400,0.430,0.400
5.10,-0.005,0.400,0.444,0.400
5.20,-0.015,0.400,0.435,0.400
5.30,-0.015,0.400,0.449,0.400
5.40,-0.059,0.400,0.454,0.400
5.50,-0.044,0.400,0.435,0.400
5.60,-0.020,0.400,0.444,0.400
5.70,-0.015,0.400,0.469,0.400
5.80,0.005,0.400,0.410,0.400
5.90,-0.010,0.400,0.513,0.400
6.00,-0.020,0.400,0.488,0.400
6.10,-0.005,0.400,0.488,0.400
6.20,-0.020,0.400,0.493,0.400
6.30,-0.020,0.400,0.503,0.400
6.40,-0.024,0.400,0.518,0.400
6.50,-0.029,0.400,0.498,0.400
6.60,-0.034,0.400,0.518,0.400
6.70,-0.015,0.400,0.508,0.400
6.80,-0.010,0.400,0.513,0.400
6.90,0.000,0.400,0.527,0.400
7.00,-0.015,0.400,0.513,0.400
7.10,-0.020,0.400,0.527,0.400
7.20,-0.020,0.400,0.522,0.400
7.30,-0.010,0.400,0.518,0.400
7.40,-0.010,0.400,0.532,0.400
7.50,-0.044,0.400,0.522,0.400
7.60,-0.015,0.400,0.493,0.400
7.70,-0.034,0.400,0.503,0.400
7.80,-0.015,0.400,0.493,0.400
7.90,-0.049,0.400,0.498,0.400
8.00,-0.015,0.400,0.518,0.400
8.10,-0.029,0.400,0.508,0.400
8.20,-0.020,0.400,0.527,0.400
8.30,-0.010,0.400,0.488,0.400
8.40,-0.010,0.400,0.503,0.400
8.50,-0.010,0.400,0.522,0.400
8.60,-0.015,0.400,0.508,0.400
8.70,-0.015,0.400,0.532,0.400
8.80,-0.029,0.400,0.532,0.400
8.90,-0.024,0.400,0.522,0.400
9.00,-0.020,0.400,0.488,0.400
9.10,-0.010,0.400,0.532,0.400
9.20,-0.044,0.400,0.527,0.400
9.30,-0.015,0.400,0.552,0.400
9.40,-0.020,0.400,0.547,0.400
9.50,-0.015,0.400,0.532,0.400
9.60,-0.015,0.400,0.586,0.400
9.70,-0.015,0.400,0.576,0.400
9.80,-0.010,0.400,0.537,0.400
9.90,-0.039,0.400,0.562,0.400
10.00,-0.024,0.400,0.557,0.400
10.10,-0.015,0.400,0.562,0.400
10.20,-0.015,0.400,0.552,0.400
10.30,-0.015,0.400,0.532,0.400
10.40,0.010,0.400,0.518,0.400
10.50,0.000,0.400,0.527,0.400
10.60,-0.015,0.400,0.513,0.400
