DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
53.00,-0.029,0.300,-0.054,0.300
53.10,-0.005,0.310,0.000,0.310
53.20,0.000,0.320,-0.010,0.320
53.30,-0.010,0.330,-0.015,0.330
53.40,-0.015,0.340,-0.015,0.340
53.50,-0.034,0.350,-0.015,0.350
53.60,0.005,0.360,-0.015,0.360
53.70,-0.015,0.370,-0.015,0.370
53.80,-0.029,0.380,-0.005,0.380
53.90,-0.015,0.390,-0.010,0.390
54.00,-0.029,0.400,-0.010,0.400
54.10,-0.015,0.410,-0.005,0.410
54.20,-0.005,0.420,-0.039,0.420
54.30,-0.029,0.430,-0.015,0.430
54.40,-0.010,0.440,-0.005,0.440
54.50,-0.020,0.450,-0.010,0.450
54.60,-0.024,0.460,-0.029,0.460
54.70,-0.015,0.470,-0.024,0.470
54.80,-0.049,0.480,-0.015,0.480
0.10,-0.010,-4.990,-0.015,-4.990
0.20,-0.010,-4.980,-0.015,-4.980
0.30,-0.024,-4.970,-0.020,-4.970
0.40,0.000,-4.960,-1.748,-4.960
0.50,-0.015,-4.950,-3.394,-4.950
0.60,-0.015,-4.940,-4.961,-4.940
0.70,-0.005,-4.930,-6.255,-4.930
0.80,-0.015,-4.920,-7.236,-4.920
0.90,-0.015,-4.910,-8.042,-4.910
1.00,-0.059,-4.900,-8.677,-4.900
1.10,-0.015,-4.890,-9.282,-4.890
1.20,-0.029,-4.880,-9.756,-4.880
1.30,-0.015,-4.870,-10.000,-4.870
1.40,-0.010,-4.860,-10.000,-4.860
1.50,-0.010,-4.850,-10.000,-4.850
1.60,-0.024,-4.840,-10.000,-4.840
1.70,-0.024,-4.830,-10.000,-4.830
1.80,-0.049,-4.820,-10.000,-4.820
1.90,-0.063,-4.810,-10.000,-4.810
2.00,-0.015,-4.800,-10.000,-4.800
2.10,-0.020,-4.790,-10.000,-4.790
2.20,-0.054,-4.780,-10.000,-4.780
2.30,-0.015,-4.770,-10.000,-4.770
2.40,-0.024,-4.760,-10.000,-4.760
2.50,-0.049,-4.750,-10.000,-4.750
2.60,-0.020,-4.740,-10.000,-4.740
2.70,-0.015,-4.730,-10.000,-4.730
2.80,0.000,-4.720,-10.000,-4.720
2.90,-0.015,-4.710,-10.000,-4.710
3.00,-0.054,-4.700,-10.000,-4.700
3.10,-0.024,-4.690,-10.000,-4.690
3.20,0.000,-4.680,-10.000,-4.680
3.30,-0.005,-4.670,-10.000,-4.670
3.40,-0.034,-4.660,-10.000,-4.660
3.50,-0.015,-4.650,-10.000,-4.650
3.60,-0.044,-4.640,-10.000,-4.640
3.70,-0.010,-4.630,-10.000,-4.630
3.80,-0.044,-4.620,-10.000,-4.620
3.90,-0.029,-4.610,-10.000,-4.610
4.00,-0.049,-4.600,-10.000,-4.600
4.10,-0.049,-4.590,-10.000,-4.590
4.20,-0.039,-4.580,-10.000,-4.580
4.30,-0.010,-4.570,-10.000,-4.570
4.40,-0.029,-4.560,-10.000,-4.560
4.50,-0.029,-4.550,-10.000,-4.550
4.60,-0.015,-4.540,-10.000,-4.540
4.70,-0.005,-4.530,-10.000,-4.530
4.80,-0.005,-4.520,-10.000,-4.520
4.90,-0.015,-4.510,-10.000,-4.510
5.00,-0.029,-4.500,-10.000,-4.500
5.10,-0.015,-4.490,-10.000,-4.490
5.20,-0.054,-4.480,-10.000,-4.480
5.30,-0.044,-4.470,-10.000,-4.470
5.40,-0.029,-4.460,-10.000,-4.460
5.50,-0.029,-4.450,-10.000,-4.450
5.60,-0.020,-4.440,-10.000,-4.440
5.70,-0.024,-4.430,-10.000,-4.430
5.80,-0.015,-4.420,-10.000,-4.420
5.90,-0.034,-4.410,-10.000,-4.410
6.00,-0.020,-4.400,-10.000,-4.400
6.10,-0.059,-4.390,-10.000,-4.390
6.20,-0.034,-4.380,-10.000,-4.380
6.30,-0.020,-4.370,-10.000,-4.370
6.40,-0.034,-4.360,-10.000,-4.360
6.50,-0.029,-4.350,-10.000,-4.350
6.60,-0.029,-4.340,-10.000,-4.340
6.70,-0.005,-4.330,-10.000,-4.330
6.80,-0.015,-4.320,-10.000,-4.320
6.90,0.015,-4.310,-10.000,-4.310
7.00,-0.049,-4.300,-10.000,-4.300
7.10,-0.024,-4.290,-10.000,-4.290
7.20,-0.034,-4.280,-10.000,-4.280
7.30,-0.044,-4.270,-10.000,-4.270
7.40,-0.015,-4.260,-10.000,-4.260
7.50,-0.029,-4.250,-10.000,-4.250
7.60,-0.015,-4.240,-10.000,-4.240
7.70,-0.020,-4.230,-10.000,-4.230
7.80,-0.005,-4.220,-10.000,-4.220
7.90,-0.049,-4.210,-10.000,-4.210
8.00,-0.024,-4.200,-10.000,-4.200
8.10,-0.010,-4.190,-10.000,-4.190
8.20,-0.049,-4.180,-10.000,-4.180
8.30,-0.020,-4.170,-10.000,-4.170
8.40,0.000,-4.160,-10.000,-4.160
8.50,-0.024,-4.150,-10.000,-4.150
8.60,-0.015,-4.140,-10.000,-4.140
8.70,-0.015,-4.130,-10.000,-4.130
8.80,-0.010,-4.120,-10.000,-4.120
8.90,-0.015,-4.110,-10.000,-4.110
9.00,-0.044,-4.100,-10.000,-4.100
9.10,-0.029,-4.090,-10.000,-4.090
9.20,-0.029,-4.080,-10.000,-4.080
9.30,-0.024,-4.070,-10.000,-4.070
9.40,-0.024,-4.060,-10.000,-4.060
9.50,-0.015,-4.050,-10.000,-4.050
9.60,-0.044,-4.040,-10.000,-4.040
9.70,-0.020,-4.030,-10.000,-4.030
9.80,-0.024,-4.020,-10.000,-4.020
9.90,-0.005,-4.010,-10.000,-4.010
10.00,-0.015,-4.000,-10.000,-4.000
10.10,-0.015,-3.990,-10.000,-3.990
10.20,-0.039,-3.980,-10.000,-3.980
10.30,-0.024,-3.970,-10.000,-3.970
10.40,-0.034,-3.960,-10.000,-3.960
10.50,-0.054,-3.950,-10.000,-3.950
10.60,-0.010,-3.940,-10.000,-3.940
10.70,-0.049,-3.930,-10.000,-3.930
10.80,-0.015,-3.920,-10.000,-3.920
10.90,-0.054,-3.910,-10.000,-3.910
11.00,-0.005,-3.900,-10.000,-3.900
11.10,-0.005,-3.890,-10.000,-3.890
11.20,0.000,-3.880,-10.000,-3.880
11.30,-0.029,-3.870,-10.000,-3.870
11.40,-0.029,-3.860,-10.000,-3.860
11.50,-0.044,-3.850,-10.000,-3.850
11.60,-0.029,-3.840,-10.000,-3.840
11.70,-0.029,-3.830,-10.000,-3.830
11.80,-0.005,-3.820,-10.000,-3.820
11.90,-0.029,-3.810,-10.000,-3.810
12.00,-0.049,-3.800,-10.000,-3.800
12.10,-0.015,-3.790,-10.000,-3.790
12.20,-0.015,-3.780,-10.000,-3.780
12.30,-0.029,-3.770,-10.000,-3.770
12.40,-0.015,-3.760,-10.000,-3.760
12.50,-0.015,-3.750,-10.000,-3.750
12.60,-0.034,-3.740,-10.000,-3.740
12.70,-0.010,-3.730,-10.000,-3.730
12.80,-0.015,-3.720,-10.000,-3.720
12.90,-0.015,-3.710,-10.000,-3.710
13.00,-0.010,-3.700,-10.000,-3.700
13.10,0.005,-3.690,-10.000,-3.690
13.20,-0.020,-3.680,-10.000,-3.680
13.30,-0.015,-3.670,-10.000,-3.670
13.40,-0.020,-3.660,-10.000,-3.660
13.50,-0.015,-3.650,-10.000,-3.650
13.60,-0.054,-3.640,-10.000,-3.640
13.70,-0.015,-3.630,-10.000,-3.630
13.80,-0.015,-3.620,-10.000,-3.620
13.90,-0.034,-3.610,-10.000,-3.610
14.00,-0.015,-3.600,-10.000,-3.600
14.10,-0.015,-3.590,-10.000,-3.590
14.20,-0.015,-3.580,-10.000,-3.580
14.30,-0.010,-3.570,-10.000,-3.570
14.40,-0.044,-3.560,-10.000,-3.560
14.50,-0.034,-3.550,-10.000,-3.550
14.60,-0.034,-3.540,-10.000,-3.540
14.70,-0.020,-3.530,-10.000,-3.530
14.80,-0.049,-3.520,-10.000,-3.520
14.90,0.029,-3.510,-10.000,-3.510
15.00,-0.015,-3.500,-10.000,-3.500
15.10,-0.010,-3.490,-10.000,-3.490
15.20,-0.015,-3.480,-10.000,-3.480
15.30,-0.059,-3.470,-10.000,-3.470
15.40,-0.024,-3.460,-10.000,-3.460
15.50,-0.034,-3.450,-10.000,-3.450
15.60,-0.015,-3.440,-10.000,-3.440
15.70,-0.039,-3.430,-10.000,-3.430
15.80,-0.020,-3.420,-10.000,-3.420
15.90,-0.029,-3.410,-10.000,-3.410
16.00,-0.073,-3.400,-10.000,-3.400
16.10,0.010,-3.390,-10.000,-3.390
16.20,-0.015,-3.380,-9.995,-3.380
16.30,-0.020,-3.370,-9.966,-3.370
16.40,-0.054,-3.360,-9.922,-3.360
16.50,-0.024,-3.350,-9.917,-3.350
16.60,-0.044,-3.340,-9.883,-3.340
16.70,-0.015,-3.330,-9.839,-3.330
16.80,-0.015,-3.320,-9.819,-3.320
16.90,-0.015,-3.310,-9.834,-3.310
17.00,-0.020,-3.300,-9.814,-3.300
17.10,-0.015,-3.290,-9.722,-3.290
17.20,-0.020,-3.280,-9.736,-3.280
17.30,-0.020,-3.270,-9.683,-3.270
17.40,-0.034,-3.260,-9.663,-3.260
17.50,-0.015,-3.250,-9.624,-3.250
17.60,-0.034,-3.240,-9.600,-3.240
17.70,-0.015,-3.230,-9.541,-3.230
17.80,-0.015,-3.220,-9.541,-3.220
17.90,-0.015,-3.210,-9.556,-3.210
18.00,-0.020,-3.200,-9.546,-3.200
18.10,-0.029,-3.190,-9.517,-3.190
18.20,-0.010,-3.180,-9.507,-3.180
18.30,-0.010,-3.170,-9.482,-3.170
18.40,-0.039,-3.160,-9.453,-3.160
18.50,-0.024,-3.150,-9.414,-3.150
18.60,-0.029,-3.140,-9.375,-3.140
18.70,-0.015,-3.130,-9.434,-3.130
18.80,-0.024,-3.120,-9.360,-3.120
18.90,-0.015,-3.110,-9.321,-3.110
19.00,-0.049,-3.100,-9.253,-3.100
19.10,-0.024,-3.090,-9.233,-3.090
19.20,-0.015,-3.080,-9.277,-3.080
19.30,-0.024,-3.070,-9.175,-3.070
19.40,-0.039,-3.060,-9.180,-3.060
19.50,-0.034,-3.050,-9.160,-3.050
19.60,-0.034,-3.040,-9.072,-3.040
19.70,-0.024,-3.030,-9.097,-3.030
19.80,-0.010,-3.020,-9.067,-3.020
19.90,-0.034,-3.010,-9.014,-3.010
20.00,-0.029,-3.000,-8.960,-3.000
20.10,-0.049,-2.990,-8.936,-2.990
20.20,-0.020,-2.980,-8.950,-2.980
20.30,-0.073,-2.970,-8.887,-2.970
20.40,-0.015,-2.960,-8.848,-2.960
20.50,-0.020,-2.950,-8.833,-2.950
20.60,-0.020,-2.940,-8.770,-2.940
20.70,-0.044,-2.930,-8.799,-2.930
20.80,-0.015,-2.920,-8.726,-2.920
20.90,-0.020,-2.910,-8.706,-2.910
21.00,-0.015,-2.900,-8.652,-2.900
21.10,-0.010,-2.890,-8.623,-2.890
